와인,종류,산지,품종,요리,DH평점(5점 만점),향,맛,산도,시음
산 펠리체 페롤라 베르멘티노,화이트 와인,이탈리아 토스카나,"베르멘티노(소비뇽블랑이랑 비슷, 플로럴 가미)",,4,"은은한 향, 플로럴, 쌉쌀하고 페트롤 향",깔끔하고 단순한 맛,,넷플연가 블라인드 테스팅(1회-2)
크라허 츠바이겔트,레드 와인,오스트리아,츠바이겔트(피노 누아 비슷),,4,"오크향, 불에탄 나무 향, 향신료, 민트, 허브","가볍고 상큼한 느낌, 피니쉬 짧다, ",,넷플연가 블라인드 테스팅(1회-4)
프레이밍엄 소비뇽 블랑 ,화이트 와인,뉴질랜드 말보로,소비뇽 블랑,,4,"감귤, 열대과일, 청사과","풋풋한, 싱그러운, 경쾌, 고소함, 쌈싸름함(오크 배럴)",,넷플연가 블라인드 테스팅(2회-3)
이나마 소아베 클라시코 2021(Inama Soave Classico 2021),화이트 와인,이탈리아,가르가네가 100%,흰살 생선(광어 등),4,"비누, 꽃향기","스파이시(후추), 아몬드, 꿀",,넷플연가 블라인드 테스팅(2회-1)
올리비에 르플뢰브 부르고뉴 샤르도네,화이트 와인,프랑스 부르고뉴,샤르도네,,4,"화려함, 복합적","바닐라, 버터, 오크 배럴, ",,넷플연가 블라인드 테스팅(2회-4)
세멜리 테아 만티니아,화이트 와인,그리스 만티니아,모스코필레로(게블츠 트라미너와 유사),,2,"꽃향기, 화려함","감귤류, 열대과일 아로마 풍부, ",신선한 산도,넷플연가 블라인드 테스팅(2회-5)
윌리엄힐 노스코스트 샤도네이,화이트 와인,미국 노스코스트,샤르도네,,2,"향이 매우 강함, 크림, 버터, 바닐라, 구수함, 오크 향, 유산 발효, 요거트, 젖산",,"쎄고 시큼, ",넷플연가 블라인드 테스팅(1회-3)
르윈 에스테이트 아트 시리즈,화이트 와인,호주 마가렛 리버,리슬링,,2,,"버터, 유산 발효, 복숭아, 신맛 강함, 청사과, 고무, 가죽",높음,넷플연가 블라인드 테스팅(2회-2)
브라이다 일 바시알레 몬페라토 로소,레드 와인,이탈리아 피에몬테,"바르베라, 메를로, 까베르네 쇼비뇽, 피노 누아",,3,"달달한 가죽향, 담배향, ","건과일, 말린 체리 ",,넷플연가 블라인드 테스팅(1회-5)
빈야드 스파클링 뀌베,스파클링 와인,미국 캘리포니아,"샤르도네, 피노누아",식전주로 입맛 돋구는 용도로 적당.,3,"바닐라향, 구수한 향","숙성된 과일, 레몬, 시트러스, 감칠맛",높은 산도. 약간 시큼하게 달다. ,넷플릭스 블라인드 테스팅(1회-1)
